Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7727272727272727,0.7675942327105117,0.7727272727272727,0.7657648454052421
Decision Tree,0.6948051948051948,0.6935302694689954,0.6948051948051948,0.6941382419133849
Random Forest,0.7857142857142857,0.7815988746221305,0.7857142857142857,0.7791497113820854
SVM,0.7402597402597403,0.7389191453707582,0.7402597402597403,0.7170686456400742
KNN,0.7402597402597403,0.7322453861927547,0.7402597402597403,0.7294135572123244
Gradient Boosting,0.7727272727272727,0.7681086064462481,0.7727272727272727,0.7686942607304208
Neural Network,0.7012987012987013,0.7098922354241503,0.7012987012987013,0.7045401695428825
